antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedent_len
frozenset({'音樂節目_Yes'}),"frozenset({'電影節目_Yes', '網路服務_Yes'})",0.3521836506159014,0.3877379619260918,0.3303471444568869,0.9379968203497616,2.4191513662738977,1.0,0.1937921735433864,9.874687742268923,0.90555278847985,0.8065618591934381,0.8987309749836982,0.8949911899582743,1
"frozenset({'音樂節目_Yes', '網路服務_Yes'})",frozenset({'電影節目_Yes'}),0.3521836506159014,0.3877379619260918,0.3303471444568869,0.9379968203497616,2.4191513662738977,1.0,0.1937921735433864,9.874687742268923,0.90555278847985,0.8065618591934381,0.8987309749836982,0.8949911899582743,2
frozenset({'電影節目_Yes'}),"frozenset({'音樂節目_Yes', '網路服務_Yes'})",0.3877379619260918,0.3521836506159014,0.3303471444568869,0.851985559566787,2.4191513662738977,1.0,0.1937921735433864,4.376710458034031,0.9581386157029598,0.8065618591934381,0.7715178992102694,0.8949911899582743,1
"frozenset({'電影節目_Yes', '網路服務_Yes'})",frozenset({'音樂節目_Yes'}),0.3877379619260918,0.3521836506159014,0.3303471444568869,0.851985559566787,2.4191513662738977,1.0,0.1937921735433864,4.376710458034031,0.9581386157029598,0.8065618591934381,0.7715178992102694,0.8949911899582743,2
frozenset({'電影節目_No'}),"frozenset({'音樂節目_No', '網路服務_Yes'})",0.4081746920492721,0.4437290033594624,0.3863381858902575,0.9465020576131687,2.1330633121730216,1.0,0.2052192365906785,10.39798862951159,0.8975463781827158,0.8298256163559832,0.9038275539981072,0.908582259090496,1
"frozenset({'電影節目_No', '網路服務_Yes'})",frozenset({'音樂節目_No'}),0.4081746920492721,0.4437290033594624,0.3863381858902575,0.9465020576131687,2.1330633121730216,1.0,0.2052192365906785,10.39798862951159,0.8975463781827158,0.8298256163559832,0.9038275539981072,0.908582259090496,2
frozenset({'音樂節目_No'}),"frozenset({'電影節目_No', '網路服務_Yes'})",0.4437290033594624,0.4081746920492721,0.3863381858902575,0.8706624605678234,2.1330633121730216,1.0,0.2052192365906785,4.575820063911726,0.9549134592240872,0.8298256163559832,0.7814599381023014,0.908582259090496,1
"frozenset({'音樂節目_No', '網路服務_Yes'})",frozenset({'電影節目_No'}),0.4437290033594624,0.4081746920492721,0.3863381858902575,0.8706624605678234,2.1330633121730216,1.0,0.2052192365906785,4.575820063911726,0.9549134592240872,0.8298256163559832,0.7814599381023014,0.908582259090496,2
frozenset({'音樂節目_No'}),"frozenset({'電影節目_No', '電話服務_Yes', '網路服務_Yes'})",0.4437290033594624,0.3541433370660694,0.333986562150056,0.7526813880126184,2.125358037929702,1.0,0.1768428921473348,2.6114357417098994,0.9518580749726534,0.7199758599879301,0.6170688851240022,0.8478821959825937,1
"frozenset({'音樂節目_No', '網路服務_Yes'})","frozenset({'電影節目_No', '電話服務_Yes'})",0.4437290033594624,0.3541433370660694,0.333986562150056,0.7526813880126184,2.125358037929702,1.0,0.1768428921473348,2.6114357417098994,0.9518580749726534,0.7199758599879301,0.6170688851240022,0.8478821959825937,2
frozenset({'音樂節目_No'}),"frozenset({'無限資料下載_Yes', '電影節目_No', '網路服務_Yes'})",0.4437290033594624,0.3499440089585666,0.3289473684210526,0.7413249211356467,2.118410094637224,1.0,0.173667062094253,2.513021331221152,0.949083939221964,0.707831325301205,0.602072617698764,0.8406624605678235,1
"frozenset({'音樂節目_No', '網路服務_Yes'})","frozenset({'無限資料下載_Yes', '電影節目_No'})",0.4437290033594624,0.3499440089585666,0.3289473684210526,0.7413249211356467,2.118410094637224,1.0,0.173667062094253,2.513021331221152,0.949083939221964,0.707831325301205,0.602072617698764,0.8406624605678235,2
frozenset({'電影節目_No'}),"frozenset({'無限資料下載_Yes', '音樂節目_No', '網路服務_Yes'})",0.4081746920492721,0.3807390817469205,0.3289473684210526,0.8058984910836764,2.1166686839344795,1.0,0.1735393109778807,3.1903972396218747,0.8914108577064758,0.7151552038953135,0.6865594078439837,0.8349345396594853,1
"frozenset({'電影節目_No', '網路服務_Yes'})","frozenset({'無限資料下載_Yes', '音樂節目_No'})",0.4081746920492721,0.3807390817469205,0.3289473684210526,0.8058984910836764,2.1166686839344795,1.0,0.1735393109778807,3.1903972396218747,0.8914108577064758,0.7151552038953135,0.6865594078439837,0.8349345396594853,2
frozenset({'電影節目_No'}),"frozenset({'音樂節目_No', '電話服務_Yes', '網路服務_Yes'})",0.4081746920492721,0.3871780515117581,0.333986562150056,0.818244170096022,2.1133537061337604,1.0,0.1759502802060069,3.371676984512668,0.8901586913888254,0.7239077669902915,0.7034116836834128,0.8404308341441789,1
"frozenset({'電影節目_No', '網路服務_Yes'})","frozenset({'音樂節目_No', '電話服務_Yes'})",0.4081746920492721,0.3871780515117581,0.333986562150056,0.818244170096022,2.1133537061337604,1.0,0.1759502802060069,3.371676984512668,0.8901586913888254,0.7239077669902915,0.7034116836834128,0.8404308341441789,2
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'線上安全服務_No', '電話服務_Yes', '網路服務_Yes'})",0.4400895856662934,0.4608062709966405,0.3303471444568869,0.7506361323155216,1.6289624937005125,1.0,0.1275511035815456,2.1622768928400027,0.6895966101694916,0.5789990186457311,0.537524540306876,0.7337627806170561,1
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'線上安全服務_No', '電話服務_Yes'})",0.4400895856662934,0.4608062709966405,0.3303471444568869,0.7506361323155216,1.6289624937005125,1.0,0.1275511035815456,2.1622768928400027,0.6895966101694916,0.5789990186457311,0.537524540306876,0.7337627806170561,1
"frozenset({'線上安全服務_No', '電話服務_Yes'})","frozenset({'網路服務_Yes', '網路連線類型_Fiber Optic'})",0.4608062709966405,0.4400895856662934,0.3303471444568869,0.7168894289185905,1.6289624937005125,1.0,0.1275511035815456,1.9777093175821483,0.7160920147139059,0.5789990186457311,0.4943645200486026,0.7337627806170561,2
"frozenset({'線上安全服務_No', '電話服務_Yes'})",frozenset({'網路連線類型_Fiber Optic'}),0.4608062709966405,0.4400895856662934,0.3303471444568869,0.7168894289185905,1.6289624937005125,1.0,0.1275511035815456,1.9777093175821483,0.7160920147139059,0.5789990186457311,0.4943645200486026,0.7337627806170561,2
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'支付帳單方式_Bank Withdrawal', '電話服務_Yes', '網路服務_Yes'})",0.4400895856662934,0.4468085106382978,0.3157894736842105,0.7175572519083969,1.6059614685568884,1.0,0.1191537013652283,1.9585968947671075,0.6738936170212766,0.5529411764705882,0.4894304169113329,0.712162084600815,1
"frozenset({'支付帳單方式_Bank Withdrawal', '電話服務_Yes', '網路服務_Yes'})",frozenset({'網路連線類型_Fiber Optic'}),0.4468085106382978,0.4400895856662934,0.3157894736842105,0.706766917293233,1.605961468556888,1.0,0.1191537013652283,1.9094380796508448,0.6820785597381341,0.5529411764705882,0.4762857142857142,0.712162084600815,3
"frozenset({'無紙化計費_Yes', '電話服務_Yes', '網路服務_Yes'})",frozenset({'網路連線類型_Fiber Optic'}),0.4879619260918253,0.4400895856662934,0.3429451287793953,0.7028112449799198,1.5969731342673494,1.0,0.1281981669047174,1.8840228806634185,0.730053893618683,0.5861244019138756,0.4692208835341366,0.7410366657469574,3
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'無紙化計費_Yes', '電話服務_Yes', '網路服務_Yes'})",0.4400895856662934,0.4879619260918253,0.3429451287793953,0.7792620865139949,1.5969731342673492,1.0,0.1281981669047174,2.3196652800681568,0.6676342857142857,0.5861244019138756,0.568903320408961,0.7410366657469574,1
frozenset({'設備保護計劃_No'}),"frozenset({'合約類型_Month-to-Month', '網路服務_Yes'})",0.4510078387458007,0.4526875699888018,0.3247480403135498,0.7200496585971445,1.5906106249282626,1.0,0.1205823977458119,1.9550339794856764,0.6763495929240887,0.5609284332688588,0.488499938879284,0.7187137594160737,1
"frozenset({'合約類型_Month-to-Month', '網路服務_Yes'})",frozenset({'設備保護計劃_No'}),0.4526875699888018,0.4510078387458007,0.3247480403135498,0.717377860235003,1.5906106249282623,1.0,0.1205823977458119,1.942495240148884,0.6784253461504541,0.5609284332688588,0.4851982237426981,0.7187137594160737,2
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'技術支援計劃_No', '電話服務_Yes', '網路服務_Yes'})",0.4400895856662934,0.4552071668533035,0.3171892497200448,0.7207379134860051,1.583318466772454,1.0,0.1168573162672471,1.9508299173271229,0.6579894086496029,0.5486682808716706,0.4873976500370043,0.7087699407528427,1
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'技術支援計劃_No', '電話服務_Yes'})",0.4400895856662934,0.4552071668533035,0.3171892497200448,0.7207379134860051,1.583318466772454,1.0,0.1168573162672471,1.9508299173271229,0.6579894086496029,0.5486682808716706,0.4873976500370043,0.7087699407528427,1
"frozenset({'合約類型_Month-to-Month', '無限資料下載_Yes'})",frozenset({'技術支援計劃_No'}),0.3868980963045912,0.5120380739081747,0.3132698768197088,0.8096960926193922,1.5813200890303276,1.0,0.1151633207891664,2.564119322657425,0.5996017318137118,0.5348948374760994,0.6100025489595348,0.7107529123567163,2
"frozenset({'合約類型_Month-to-Month', '無限資料下載_Yes'})","frozenset({'技術支援計劃_No', '網路服務_Yes'})",0.3868980963045912,0.5120380739081747,0.3132698768197088,0.8096960926193922,1.5813200890303276,1.0,0.1151633207891664,2.564119322657425,0.5996017318137118,0.5348948374760994,0.6100025489595348,0.7107529123567163,2
"frozenset({'合約類型_Month-to-Month', '網路服務_Yes'})",frozenset({'技術支援計劃_No'}),0.4526875699888018,0.5120380739081747,0.3656215005599104,0.8076685219542363,1.57736028453829,1.0,0.1338282291406723,2.5370882137957618,0.668776020961684,0.6102803738317757,0.6058473668505635,0.7608599580793598,2
frozenset({'技術支援計劃_No'}),"frozenset({'合約類型_Month-to-Month', '網路服務_Yes'})",0.5120380739081747,0.4526875699888018,0.3656215005599104,0.7140513942044834,1.57736028453829,1.0,0.1338282291406723,1.9140237753164089,0.7501188301664327,0.6102803738317757,0.4775404501782172,0.7608599580793598,1
"frozenset({'合約類型_Month-to-Month', '網路服務_Yes'})","frozenset({'技術支援計劃_No', '電話服務_Yes'})",0.4526875699888018,0.4552071668533035,0.3241881298992161,0.7161410018552876,1.5732199622552812,1.0,0.1181215036949071,1.9192374971638528,0.6657275751030306,0.5553956834532374,0.4789597423571878,0.7141590618132527,2
frozenset({'線上備份服務_No'}),"frozenset({'合約類型_Month-to-Month', '網路服務_Yes'})",0.4454087346024636,0.4526875699888018,0.3124300111982083,0.7014456316781899,1.5495137887164467,1.0,0.1107990134792319,1.833208581363824,0.6394552007512225,0.5334608030592736,0.4545083357311991,0.6958063037797257,1
"frozenset({'合約類型_Month-to-Month', '電話服務_Yes', '網路服務_Yes'})",frozenset({'線上安全服務_No'}),0.4020156774916013,0.5167973124300111,0.3211086226203807,0.7987465181058496,1.545570185630604,1.0,0.113348000937991,2.4009656032889417,0.5902990703643115,0.5372365339578455,0.583500905373172,0.7100449816964784,3
"frozenset({'合約類型_Month-to-Month', '網路服務_Yes'})",frozenset({'線上安全服務_No'}),0.4526875699888018,0.5167973124300111,0.3608622620380739,0.7971552257266543,1.54249104349708,1.0,0.1269145424973886,2.3821303225630244,0.6425909575217413,0.5929162833486662,0.580207686150411,0.7477108739684193,2
"frozenset({'合約類型_Month-to-Month', '網路服務_Yes'})","frozenset({'線上安全服務_No', '電話服務_Yes'})",0.4526875699888018,0.4608062709966405,0.3211086226203807,0.7093382807668522,1.5393416396714437,1.0,0.1125073515673102,1.8550558719115584,0.6401675002285514,0.5420604914933839,0.4609326785561766,0.7030895535061479,2
"frozenset({'合約類型_Month-to-Month', '無限資料下載_Yes'})","frozenset({'線上安全服務_No', '網路服務_Yes'})",0.3868980963045912,0.5167973124300111,0.3071108622620381,0.7937771345875543,1.53595445544244,1.0,0.1071629659075377,2.343109172707805,0.5691370820377702,0.5147817925856406,0.5732166423793418,0.6940174947043947,2
"frozenset({'合約類型_Month-to-Month', '無限資料下載_Yes'})",frozenset({'線上安全服務_No'}),0.3868980963045912,0.5167973124300111,0.3071108622620381,0.7937771345875543,1.53595445544244,1.0,0.1071629659075377,2.343109172707805,0.5691370820377702,0.5147817925856406,0.5732166423793418,0.6940174947043947,2
frozenset({'網路連線類型_Fiber Optic'}),frozenset({'線上安全服務_No'}),0.4400895856662934,0.5167973124300111,0.3303471444568869,0.7506361323155216,1.4524768497459608,1.0,0.1029100293561093,1.9377413899490368,0.5563762711864407,0.5272564789991063,0.4839352634015315,0.6949280336550523,1
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'線上安全服務_No', '網路服務_Yes'})",0.4400895856662934,0.5167973124300111,0.3303471444568869,0.7506361323155216,1.4524768497459608,1.0,0.1029100293561093,1.9377413899490368,0.5563762711864407,0.5272564789991063,0.4839352634015315,0.6949280336550523,1
"frozenset({'技術支援計劃_No', '電話服務_Yes'})","frozenset({'線上安全服務_No', '網路服務_Yes'})",0.4552071668533035,0.5167973124300111,0.3407054871220604,0.7484624846248462,1.44827085323941,1.0,0.1054556466933935,1.9209965036401024,0.5681451786569336,0.5396895787139689,0.4794368453533897,0.7038628782820873,2
"frozenset({'技術支援計劃_No', '電話服務_Yes', '網路服務_Yes'})",frozenset({'線上安全服務_No'}),0.4552071668533035,0.5167973124300111,0.3407054871220604,0.7484624846248462,1.44827085323941,1.0,0.1054556466933935,1.9209965036401024,0.5681451786569336,0.5396895787139689,0.4794368453533897,0.7038628782820873,3
frozenset({'設備保護計劃_No'}),"frozenset({'技術支援計劃_No', '網路服務_Yes'})",0.4510078387458007,0.5120380739081747,0.3342665173572228,0.7411545623836127,1.4474598670498986,1.0,0.1033333322883344,1.8851478727432387,0.563094667626762,0.5316117542297417,0.4695376344430662,0.6969851543465357,1
"frozenset({'設備保護計劃_No', '網路服務_Yes'})",frozenset({'技術支援計劃_No'}),0.4510078387458007,0.5120380739081747,0.3342665173572228,0.7411545623836127,1.4474598670498986,1.0,0.1033333322883344,1.8851478727432387,0.563094667626762,0.5316117542297417,0.4695376344430662,0.6969851543465357,2
"frozenset({'線上安全服務_No', '電話服務_Yes'})","frozenset({'技術支援計劃_No', '網路服務_Yes'})",0.4608062709966405,0.5120380739081747,0.3407054871220604,0.7393681652490887,1.4439710695843329,1.0,0.1047551316761322,1.8722268772660708,0.570231686620232,0.5389725420726307,0.4658766989499396,0.7023795446256378,2
"frozenset({'線上安全服務_No', '電話服務_Yes', '網路服務_Yes'})",frozenset({'技術支援計劃_No'}),0.4608062709966405,0.5120380739081747,0.3407054871220604,0.7393681652490887,1.4439710695843329,1.0,0.1047551316761322,1.8722268772660708,0.570231686620232,0.5389725420726307,0.4658766989499396,0.7023795446256378,3
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'支付帳單方式_Bank Withdrawal', '網路服務_Yes'})",0.4400895856662934,0.4997200447928331,0.3157894736842105,0.7175572519083969,1.4359184895332178,1.0,0.0958678862221909,1.7712614630307797,0.5421968085106381,0.5060565275908478,0.4354306120966948,0.6747450125088204,1
frozenset({'技術支援計劃_No'}),"frozenset({'線上安全服務_No', '網路服務_Yes'})",0.5120380739081747,0.5167973124300111,0.3798992161254199,0.7419354838709677,1.4356411421381892,1.0,0.1152793156678358,1.8724104143337068,0.6218663473770861,0.5854184641932701,0.4659290546854559,0.7385192045573691,1
"frozenset({'技術支援計劃_No', '網路服務_Yes'})",frozenset({'線上安全服務_No'}),0.5120380739081747,0.5167973124300111,0.3798992161254199,0.7419354838709677,1.4356411421381892,1.0,0.1152793156678358,1.8724104143337068,0.6218663473770861,0.5854184641932701,0.4659290546854559,0.7385192045573691,2
frozenset({'線上安全服務_No'}),"frozenset({'技術支援計劃_No', '網路服務_Yes'})",0.5167973124300111,0.5120380739081747,0.3798992161254199,0.7351029252437704,1.4356411421381892,1.0,0.1152793156678358,1.842081217925378,0.6279913345760492,0.5854184641932701,0.4571357710675547,0.7385192045573691,1
"frozenset({'線上安全服務_No', '網路服務_Yes'})",frozenset({'技術支援計劃_No'}),0.5167973124300111,0.5120380739081747,0.3798992161254199,0.7351029252437704,1.4356411421381892,1.0,0.1152793156678358,1.842081217925378,0.6279913345760492,0.5854184641932701,0.4571357710675547,0.7385192045573691,2
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'無紙化計費_Yes', '網路服務_Yes'})",0.4400895856662934,0.5431131019036954,0.3429451287793953,0.7792620865139949,1.4348062747566956,1.0,0.1039267087926626,2.0698161493008373,0.5412326530612245,0.5356362046348929,0.5168653021004839,0.7053526927415334,1
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'電話服務_Yes', '網路服務_Yes'})",0.4400895856662934,0.7018477043673013,0.4400895856662934,1.0,1.424810530514559,1.0,0.1312137202504485,inf,0.5324999999999999,0.6270442760271241,1.0,0.813522138013562,1
"frozenset({'無限資料下載_Yes', '多線路服務_Yes'})","frozenset({'電話服務_Yes', '網路服務_Yes'})",0.3286674132138857,0.7018477043673013,0.3286674132138857,1.0,1.424810530514559,1.0,0.0979929437493808,inf,0.4441201000834028,0.4682887913841244,1.0,0.7341443956920621,2
frozenset({'線上備份服務_No'}),"frozenset({'技術支援計劃_No', '網路服務_Yes'})",0.4454087346024636,0.5120380739081747,0.3241881298992161,0.7278441231929604,1.4214648485758636,1.0,0.0961218993314933,1.7929501718524117,0.5346286265288811,0.5119363395225466,0.4422600160902207,0.6804884913395093,1
"frozenset({'線上備份服務_No', '網路服務_Yes'})",frozenset({'技術支援計劃_No'}),0.4454087346024636,0.5120380739081747,0.3241881298992161,0.7278441231929604,1.4214648485758636,1.0,0.0961218993314933,1.7929501718524117,0.5346286265288811,0.5119363395225466,0.4422600160902207,0.6804884913395093,2
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'無限資料下載_Yes', '電話服務_Yes'})",0.4400895856662934,0.6052631578947368,0.3779395296752519,0.8587786259541984,1.4188516428808495,1.0,0.1115695172982849,2.795163584637268,0.5272355555555556,0.5662751677852348,0.642239185750636,0.7416002287957857,1
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'無限資料下載_Yes', '電話服務_Yes', '網路服務_Yes'})",0.4400895856662934,0.6052631578947368,0.3779395296752519,0.8587786259541984,1.4188516428808495,1.0,0.1115695172982849,2.795163584637268,0.5272355555555556,0.5662751677852348,0.642239185750636,0.7416002287957857,1
frozenset({'網路連線類型_Fiber Optic'}),"frozenset({'無紙化計費_Yes', '電話服務_Yes'})",0.4400895856662934,0.5492721164613662,0.3429451287793953,0.7792620865139949,1.418717723255856,1.0,0.1012161906278646,2.041914215915655,0.5271167346938775,0.530532698137722,0.5102634615080681,0.7018124907595459,1
