郵遞區號,城市,人口數,客戶數量,客戶滲透率 (%)
90263,Malibu,11,5,45.45454545454545
90071,Los Angeles,21,5,23.809523809523807
95937,Dunnigan,19,4,21.052631578947366
95232,Glencoe,21,4,19.047619047619047
95735,Twin Bridges,25,4,16.0
95225,Burson,27,4,14.814814814814813
95978,Stirling City,28,4,14.285714285714285
92338,Ludlow,23,3,13.043478260869565
95736,Weimar,31,4,12.903225806451612
92304,Amboy,42,5,11.904761904761903
91759,Mt Baldy,47,5,10.638297872340425
95140,Mount Hamilton,38,4,10.526315789473683
93634,Lakeshore,52,4,7.6923076923076925
95312,Cressey,55,4,7.2727272727272725
93262,Sequoia National Park,56,4,7.142857142857142
93522,Darwin,64,4,6.25
94972,Valley Ford,66,4,6.0606060606060606
95721,Echo Lake,69,4,5.797101449275362
93530,Keeler,71,4,5.633802816901409
96132,Termo,72,4,5.555555555555555
91980,Tecate,91,5,5.4945054945054945
95984,Twain,73,4,5.47945205479452
95974,Richvale,74,4,5.405405405405405
95226,Campo Seco,75,4,5.333333333333334
95944,Goodyears Bar,76,4,5.263157894736842
93623,Fish Camp,77,4,5.194805194805195
95041,Mount Hermon,77,4,5.194805194805195
96061,Mill Creek,78,4,5.128205128205128
91948,Mount Laguna,81,4,4.938271604938271
96123,Ravendale,61,3,4.918032786885246
95545,Honeydew,82,4,4.878048780487805
96029,Flournoy,84,4,4.761904761904762
96119,Madeline,85,4,4.705882352941177
95923,Canyon Dam,86,4,4.651162790697675
92384,Shoshone,87,4,4.597701149425287
96106,Clio,88,4,4.545454545454546
96085,Scott Bar,88,4,4.545454545454546
95728,Soda Springs,88,4,4.545454545454546
95250,Sheep Ranch,88,4,4.545454545454546
93287,Woody,88,4,4.545454545454546
95429,Dos Rios,91,4,4.395604395604396
93628,Hume,93,4,4.301075268817205
95981,Strawberry Valley,101,4,3.9603960396039604
92332,Essex,115,4,3.4782608695652173
95224,Avery,115,4,3.4782608695652173
93554,Randsburg,117,4,3.418803418803419
95910,Alleghany,118,4,3.389830508474576
96063,Mineral,124,4,3.225806451612903
95325,Hornitos,128,4,3.125
95646,Kirkwood,129,4,3.10077519379845
92267,Parker Dam,131,4,3.0534351145038165
96110,Eagleville,132,4,3.0303030303030303
94512,Birds Landing,138,4,2.898550724637681
96108,Davis Creek,104,3,2.8846153846153846
90743,Surfside,174,5,2.8735632183908044
95986,Washington,145,4,2.7586206896551726
94021,Loma Mar,148,4,2.7027027027027026
95463,Navarro,148,4,2.7027027027027026
93627,Helm,152,4,2.631578947368421
96133,Topaz,116,3,2.586206896551724
95550,Korbel,155,4,2.5806451612903225
94592,Vallejo,159,4,2.515723270440252
92364,Nipton,162,4,2.4691358024691357
96136,Wendel,162,4,2.4691358024691357
95559,Phillipsville,163,4,2.4539877300613497
95305,Big Oak Flat,167,4,2.3952095808383236
96031,Forks Of Salmon,170,4,2.3529411764705883
95625,Elmira,171,4,2.3391812865497075
94569,Port Costa,173,4,2.312138728323699
93645,O Neals,173,4,2.312138728323699
95443,Glenhaven,175,4,2.2857142857142856
95417,Branscomb,176,4,2.272727272727273
95934,Crescent Mills,178,4,2.247191011235955
96071,Old Station,182,4,2.197802197802198
95720,Kyburz,183,4,2.185792349726776
95715,Emigrant Gap,185,4,2.1621621621621623
95430,Duncans Mills,187,4,2.13903743315508
93208,Camp Nelson,191,4,2.094240837696335
95514,Blocksburg,199,4,2.0100502512562812
95587,Piercy,200,4,2.0
95568,Somes Bar,202,4,1.9801980198019802
93429,Casmalia,210,4,1.9047619047619049
95639,Hood,213,4,1.8779342723004695
96076,Platina,215,4,1.8604651162790697
95601,Amador City,222,4,1.8018018018018018
94576,Deer Park,223,4,1.7937219730941705
93207,California Hot Springs,226,4,1.7699115044247788
96126,Sierraville,227,4,1.762114537444934
95637,Guinda,228,4,1.7543859649122806
95537,Fields Landing,228,4,1.7543859649122806
96017,Castella,228,4,1.7543859649122806
92266,Palo Verde,291,5,1.718213058419244
95364,Pinecrest,235,4,1.702127659574468
93276,Tupman,236,4,1.694915254237288
96068,Nubieber,240,4,1.6666666666666667
95493,Witter Springs,240,4,1.6666666666666667
94950,Olema,248,4,1.6129032258064515
93928,Jolon,254,4,1.574803149606299
95595,Zenia,259,4,1.5444015444015444
95511,Alderpoint,261,4,1.532567049808429
95607,Capay,262,4,1.5267175572519083
95925,Challenge,262,4,1.5267175572519083
96074,Paskenta,263,4,1.520912547528517
95837,Sacramento,264,4,1.5151515151515151
95549,Kneeland,264,4,1.5151515151515151
95552,Mad River,265,4,1.509433962264151
96011,Big Bend,265,4,1.509433962264151
93652,Raisin City,265,4,1.509433962264151
93260,Posey,266,4,1.5037593984962405
96046,Hyampom,268,4,1.4925373134328357
96010,Big Bar,269,4,1.486988847583643
95571,Weott,270,4,1.4814814814814816
93603,Badger,273,4,1.465201465201465
93605,Big Creek,273,4,1.465201465201465
95385,Vernalis,274,4,1.4598540145985401
95930,Clipper Mills,282,4,1.4184397163120568
92268,Pioneertown,354,5,1.4124293785310735
96014,Callahan,290,4,1.3793103448275863
94074,San Gregorio,291,4,1.3745704467353952
93244,Lemon Cove,293,4,1.3651877133105803
96037,Greenview,295,4,1.3559322033898304
93226,Glennville,296,4,1.3513513513513513
95471,Rio Nido,298,4,1.342281879194631
95742,Rancho Cordova,299,4,1.3377926421404682
95558,Petrolia,300,4,1.3333333333333335
92305,Angelus Oaks,301,4,1.3289036544850499
95956,Meadow Valley,301,4,1.3289036544850499
93251,Mc Kittrick,302,4,1.3245033112582782
95920,Butte City,303,4,1.3201320132013201
95254,Wallace,304,4,1.3157894736842104
93666,Sultana,306,4,1.3071895424836601
96112,Fort Bidwell,231,3,1.2987012987012987
95488,Westport,309,4,1.2944983818770228
92060,Palomar Mountain,234,3,1.282051282051282
93549,Olancha,318,4,1.257861635220126
95585,Leggett,321,4,1.2461059190031152
96124,Calpine,322,4,1.2422360248447204
93669,Wishon,327,4,1.2232415902140672
94929,Dillon Beach,330,4,1.2121212121212122
95420,Caspar,333,4,1.2012012012012012
95233,Hathaway Pines,335,4,1.1940298507462688
95494,Yorkville,335,4,1.1940298507462688
92066,Ranchita,339,4,1.1799410029498525
93512,Benton,340,4,1.1764705882352942
90822,Long Beach,425,5,1.1764705882352942
93665,South Dos Palos,343,4,1.1661807580174928
96016,Cassel,344,4,1.1627906976744187
96125,Sierra City,348,4,1.1494252873563218
95714,Dutch Flat,350,4,1.1428571428571428
92694,Ladera Ranch,350,4,1.1428571428571428
95675,River Pines,364,4,1.098901098901099
96116,Likely,277,3,1.083032490974729
95427,Comptche,371,4,1.078167115902965
96033,French Gulch,373,4,1.0723860589812333
95606,Brooks,382,4,1.0471204188481675
95432,Elk,383,4,1.0443864229765014
94971,Tomales,384,4,1.0416666666666665
94104,San Francisco,384,4,1.0416666666666665
96117,Litchfield,385,4,1.0389610389610389
96054,Lookout,386,4,1.0362694300518136
95444,Graton,390,4,1.0256410256410255
96034,Gazelle,392,4,1.0204081632653061
95564,Samoa,395,4,1.0126582278481013
96040,Hat Creek,397,4,1.0075566750629723
95569,Redcrest,400,4,1.0
95936,Downieville,404,4,0.9900990099009901
96090,Tehama,405,4,0.9876543209876543
94940,Marshall,406,4,0.9852216748768473
93962,Spreckels,407,4,0.9828009828009828
95717,Gold Run,407,4,0.9828009828009828
96128,Standish,408,4,0.9803921568627451
93563,Valyermo,413,4,0.9685230024213075
93528,Johannesburg,207,2,0.966183574879227
92333,Fawnskin,414,4,0.966183574879227
96015,Canby,417,4,0.9592326139088728
92341,Green Valley Lake,317,3,0.9463722397476341
96065,Montgomery Creek,431,4,0.9280742459396751
96075,Paynes Creek,433,4,0.9237875288683602
95345,Midpines,433,4,0.9237875288683602
95257,Wilseyville,435,4,0.9195402298850575
95450,Jenner,438,4,0.91324200913242
96086,Seiad Valley,332,3,0.9036144578313252
92328,Death Valley,443,4,0.9029345372460496
95941,Forbestown,452,4,0.8849557522123894
92321,Cedar Glen,455,4,0.8791208791208791
96084,Round Mountain,459,4,0.8714596949891068
95251,Vallecito,460,4,0.8695652173913043
93452,San Simeon,471,4,0.8492569002123143
92259,Ocotillo,471,4,0.8492569002123143
95439,Fulton,476,4,0.8403361344537815
96121,Milford,481,4,0.8316008316008316
96050,Klamath River,482,4,0.8298755186721992
95527,Burnt Ranch,485,4,0.8247422680412372
95651,Lotus,485,4,0.8247422680412372
94567,Pope Valley,494,4,0.8097165991902834
95555,Orick,494,4,0.8097165991902834
95970,Princeton,495,4,0.8080808080808081
93541,Lee Vining,504,4,0.7936507936507936
93621,Dunlap,506,4,0.7905138339920948
95983,Taylorsville,513,4,0.7797270955165692
93954,San Lucas,521,4,0.7677543186180422
95950,Grimes,531,4,0.7532956685499058
95543,Gasquet,532,4,0.7518796992481203
93932,Lockwood,538,4,0.7434944237918215
94963,San Geronimo,548,4,0.7299270072992701
95113,San Jose,561,4,0.7130124777183601
95960,North San Juan,565,4,0.7079646017699115
93641,Miramonte,571,4,0.7005253940455342
95556,Orleans,574,4,0.6968641114982579
93067,Summerland,576,4,0.6944444444444444
95318,El Portal,579,4,0.690846286701209
94922,Bodega,584,4,0.684931506849315
96092,Vina,439,3,0.683371298405467
95459,Manchester,586,4,0.6825938566552902
95939,Elk Creek,587,4,0.6814310051107325
95830,Sacramento,592,4,0.6756756756756757
96009,Bieber,595,4,0.6722689075630253
95230,Farmington,596,4,0.6711409395973155
96059,Manton,598,4,0.6688963210702341
94946,Nicasio,607,4,0.6589785831960462
93604,Bass Lake,613,4,0.6525285481239804
95935,Dobbins,614,4,0.6514657980456027
96006,Adin,615,4,0.6504065040650406
96038,Grenada,616,4,0.6493506493506493
93529,June Lake,618,4,0.6472491909385114
93224,Fellows,626,4,0.6389776357827476
95914,Bangor,626,4,0.6389776357827476
95922,Camptonville,632,4,0.6329113924050633
92275,Salton City,799,5,0.6257822277847309
93664,Shaver Lake,642,4,0.6230529595015576
95554,Myers Flat,644,4,0.6211180124223602
92282,White Water,805,5,0.6211180124223602
93673,Traver,646,4,0.6191950464396285
95618,Davis,648,4,0.6172839506172839
96105,Chilcoot,650,4,0.6153846153846154
95636,Grizzly Flats,659,4,0.6069802731411229
95563,Salyer,660,4,0.6060606060606061
93450,San Ardo,670,4,0.5970149253731344
96148,Tahoe Vista,678,4,0.5899705014749262
92327,Daggett,678,4,0.5899705014749262
95335,Long Barn,683,4,0.5856515373352855
95526,Bridgeville,695,4,0.5755395683453237
95615,Courtland,699,4,0.5722460658082975
96087,Shasta,528,3,0.5681818181818182
95227,Clements,722,4,0.554016620498615
91963,Potrero,905,5,0.5524861878453038
95431,Eldridge,363,2,0.5509641873278237
91917,Dulzura,727,4,0.5502063273727648
92258,North Palm Springs,732,4,0.546448087431694
96048,Junction City,734,4,0.544959128065395
96091,Trinity Center,734,4,0.544959128065395
93526,Independence,734,4,0.544959128065395
95412,Annapolis,747,4,0.535475234270415
95701,Alta,751,4,0.5326231691078562
95659,Nicolaus,751,4,0.5326231691078562
95497,The Sea Ranch,752,4,0.5319148936170213
92239,Desert Center,964,5,0.5186721991701244
95957,Meridian,776,4,0.5154639175257731
94970,Stinson Beach,781,4,0.5121638924455826
94586,Sunol,790,4,0.5063291139240507
91931,Guatay,796,4,0.5025125628140703
93254,New Cuyama,798,4,0.5012531328320802
93606,Biola,807,4,0.49566294919454773
95317,El Nido,808,4,0.49504950495049505
95303,Ballico,809,4,0.4944375772558714
93424,Avila Beach,812,4,0.49261083743842365
95043,Paicines,813,4,0.4920049200492005
96058,Macdoel,816,4,0.49019607843137253
94938,Lagunitas,821,4,0.48721071863580995
93218,Ducor,823,4,0.48602673147023084
93517,Bridgeport,826,4,0.48426150121065376
96069,Oak Run,829,4,0.48250904704463204
96062,Millville,830,4,0.48192771084337355
96096,Whitmore,843,4,0.4744958481613286
95979,Stonyford,844,4,0.47393364928909953
95653,Madison,844,4,0.47393364928909953
95629,Fiddletown,850,4,0.4705882352941176
92121,San Diego,4258,20,0.4697040864255519
95835,Sacramento,854,4,0.468384074941452
95017,Davenport,857,4,0.4667444574095682
96104,Cedarville,857,4,0.4667444574095682
95553,Miranda,867,4,0.461361014994233
95456,Little River,882,4,0.45351473922902497
90742,Sunset Beach,1107,5,0.45167118337850043
95039,Moss Landing,899,4,0.44493882091212456
96008,Bella Vista,899,4,0.44493882091212456
95668,Pleasant Grove,901,4,0.4439511653718091
92309,Baker,904,4,0.4424778761061947
92368,Oro Grande,909,4,0.44004400440044
96047,Igo,911,4,0.43907793633369924
92070,Santa Ysabel,1143,5,0.4374453193350831
95655,Mather,929,4,0.4305705059203444
96146,Olympic Valley,942,4,0.42462845010615713
96113,Herlong,946,4,0.42283298097251587
95674,Rio Oso,947,4,0.42238648363252373
96120,Markleeville,957,4,0.41797283176593525
92339,Forest Falls,958,4,0.41753653444676403
96024,Douglas City,960,4,0.4166666666666667
95977,Smartville,963,4,0.4153686396677051
92086,Warner Springs,1205,5,0.4149377593360996
93653,Raymond,972,4,0.411522633744856
95306,Catheys Valley,986,4,0.4056795131845842
94937,Inverness,1004,4,0.398406374501992
92518,March Air Reserve Base,1005,4,0.3980099502487562
95007,Brookdale,1007,4,0.3972194637537239
93518,Caliente,1022,4,0.3913894324853229
94933,Forest Knolls,1025,4,0.3902439024390244
96044,Hornbrook,1026,4,0.3898635477582846
93201,Alpaugh,1054,4,0.3795066413662239
95410,Albion,1054,4,0.3795066413662239
95323,Hickman,1055,4,0.37914691943127965
92091,Rancho Santa Fe,1072,4,0.3731343283582089
95528,Carlotta,1072,4,0.3731343283582089
92358,Lytle Creek,1090,4,0.3669724770642202
95466,Philo,1113,4,0.3593890386343217
93626,Friant,1125,4,0.35555555555555557
95565,Scotia,1125,4,0.35555555555555557
93668,Tranquillity,1130,4,0.35398230088495575
93925,Chualar,1140,4,0.3508771929824561
95635,Greenwood,1140,4,0.3508771929824561
96141,Homewood,858,3,0.34965034965034963
95955,Maxwell,1146,4,0.34904013961605584
95369,Snelling,1158,4,0.3454231433506045
96023,Dorris,1162,4,0.34423407917383825
95664,Pilot Hill,1173,4,0.3410059676044331
96109,Doyle,1177,4,0.33984706881903143
92398,Yermo,1195,4,0.33472803347280333
95547,Hydesville,1201,4,0.33305578684429643
93432,Creston,1203,4,0.3325020781379884
95548,Klamath,1215,4,0.3292181069958848
95681,Sheridan,1219,4,0.3281378178835111
93544,Llano,1220,4,0.32786885245901637
96051,Lakehead,1236,4,0.3236245954692557
95919,Brownsville,1237,4,0.32336297493936944
93243,Lebec,1247,4,0.32076984763432237
92242,Earp,1564,5,0.319693094629156
95968,Palermo,1254,4,0.3189792663476874
93461,Shandon,1255,4,0.3187250996015936
91916,Descanso,1587,5,0.315059861373661
95689,Volcano,1273,4,0.3142183817753339
95346,Mi Wuk Village,1278,4,0.3129890453834116
95916,Berry Creek,1279,4,0.3127443315089914
91962,Pine Valley,1604,5,0.3117206982543641
96039,Happy Camp,1294,4,0.3091190108191654
93651,Prather,1314,4,0.30441400304414
93441,Los Olivos,1317,4,0.30372057706909644
96107,Coleville,1332,4,0.3003003003003003
95942,Forest Ranch,1351,4,0.2960769800148038
95468,Point Arena,1352,4,0.2958579881656805
93426,Bradley,1363,4,0.293470286133529
95449,Hopland,1373,4,0.29133284777858703
95415,Boonville,1374,4,0.2911208151382824
91934,Jacumba,699,2,0.28612303290414876
92823,Brea,1408,4,0.2840909090909091
95612,Clarksburg,1417,4,0.2822865208186309
93531,Keene,1436,4,0.2785515320334262
95551,Loleta,1447,4,0.27643400138217
94973,Woodacre,1449,4,0.27605244996549344
95943,Glenn,1454,4,0.2751031636863824
94130,San Francisco,1458,4,0.2743484224965706
93040,Piru,1459,4,0.2741603838245374
95686,Thornton,1472,4,0.2717391304347826
95918,Browns Valley,1477,4,0.2708192281651997
92561,Mountain Center,1500,4,0.26666666666666666
95313,Crows Landing,1508,4,0.2652519893899204
95962,Oregon House,1519,4,0.26333113890717574
95372,Soulsbyville,1519,4,0.26333113890717574
95703,Applegate,1526,4,0.2621231979030144
93222,Frazier Park,1526,4,0.2621231979030144
95462,Monte Rio,1537,4,0.2602472348731295
96056,Mcarthur,1554,4,0.2574002574002574
94924,Bolinas,1573,4,0.25429116338207247
95421,Cazadero,1575,4,0.25396825396825395
95525,Blue Lake,1584,4,0.25252525252525254
96057,Mccloud,1586,4,0.25220680958385877
95426,Cobb,1591,4,0.251414204902577
95975,Rough And Ready,1601,4,0.24984384759525297
93553,Pearblossom,1613,4,0.24798512089274644
94020,La Honda,1622,4,0.2466091245376079
92273,Seeley,1632,4,0.24509803921568626
95452,Kenwood,1653,4,0.24198427102238357
95573,Willow Creek,1666,4,0.24009603841536614
95524,Bayside,1689,4,0.2368265245707519
95246,Mountain Ranch,1692,4,0.2364066193853428
96142,Tahoma,1291,3,0.23237800154918667
94304,Palo Alto,1723,4,0.2321532211259431
93266,Stratford,1729,4,0.23134759976865238
95638,Herald,1745,4,0.2292263610315186
95329,La Grange,1749,4,0.22870211549456831
93608,Cantua Creek,1766,4,0.22650056625141565
93440,Los Alamos,1328,3,0.2259036144578313
92401,San Bernardino,1779,4,0.22484541877459246
94923,Bodega Bay,1785,4,0.22408963585434172
95645,Knights Landing,1793,4,0.2230897936419409
93239,Kettleman City,1809,4,0.22111663902708678
96118,Loyalton,1822,4,0.21953896816684962
93513,Big Pine,1826,4,0.21905805038335158
92059,Pala,1831,4,0.21845985800109227
92386,Sugarloaf,1834,4,0.21810250817884408
96103,Blairsden Graeagle,1839,4,0.2175095160413268
96052,Lewiston,1845,4,0.21680216802168023
95560,Redway,1851,4,0.21609940572663425
93624,Five Points,1852,4,0.21598272138228944
92676,Silverado,1859,4,0.21516944593867668
93238,Kernville,1873,4,0.21356113187399892
95465,Occidental,1880,4,0.2127659574468085
95469,Potter Valley,1884,4,0.21231422505307856
92230,Cabazon,2355,5,0.21231422505307856
94956,Point Reyes Station,1885,4,0.21220159151193632
96028,Fall River Mills,1902,4,0.2103049421661409
95445,Gualala,1916,4,0.20876826722338201
95951,Hamilton City,1931,4,0.20714655618850336
92347,Hinkley,1933,4,0.20693222969477496
93283,Weldon,1935,4,0.20671834625322996
96140,Carnelian Bay,1943,4,0.2058672156459084
93205,Bodfish,1954,4,0.2047082906857728
90010,Los Angeles,1957,4,0.2043944813490036
95374,Stevinson,1960,4,0.20408163265306123
93616,Del Rey,1965,4,0.2035623409669211
93601,Ahwahnee,1968,4,0.20325203252032523
95641,Isleton,2010,4,0.1990049751243781
91905,Boulevard,1509,3,0.19880715705765406
95567,Smith River,2020,4,0.19801980198019803
90067,Los Angeles,2527,5,0.19786307874950534
95663,Penryn,2048,4,0.1953125
94060,Pescadero,2055,4,0.19464720194647203
95947,Greenville,2064,4,0.1937984496124031
94105,San Francisco,2066,4,0.1936108422071636
93206,Buttonwillow,2078,4,0.192492781520693
95328,Keyes,2130,4,0.18779342723004694
95310,Columbia,2144,4,0.18656716417910446
95002,Alviso,2147,4,0.18630647414997673
96027,Etna,2156,4,0.1855287569573284
92285,Landers,2182,4,0.18331805682859761
92203,Indio,2743,5,0.18228217280349981
95255,West Point,2198,4,0.18198362147406735
95669,Plymouth,2220,4,0.18018018018018017
95464,Nice,2223,4,0.1799370220422852
95460,Mendocino,2229,4,0.1794526693584567
94129,San Francisco,2240,4,0.17857142857142858
93516,Boron,2241,4,0.178491744756805
95311,Coulterville,2271,4,0.17613386173491855
95428,Covelo,2296,4,0.17421602787456447
93271,Three Rivers,2318,4,0.1725625539257981
95690,Walnut Grove,2344,4,0.17064846416382254
95485,Upper Lake,2344,4,0.17064846416382254
94037,Montara,2346,4,0.17050298380221654
95441,Geyserville,2349,4,0.17028522775649213
95570,Trinidad,2369,4,0.16884761502743773
94511,Bethel Island,2379,4,0.16813787305590583
92281,Westmorland,2388,4,0.16750418760469013
90021,Los Angeles,3012,5,0.16600265604249667
95542,Garberville,2423,4,0.16508460586050352
92536,Aguanga,2433,4,0.16440608302507193
93249,Lost Hills,2502,4,0.15987210231814547
95633,Garden Valley,2536,4,0.15772870662460567
96134,Tulelake,2595,4,0.15414258188824664
96025,Dunsmuir,2602,4,0.15372790161414296
91914,Chula Vista,2606,4,0.15349194167306215
95228,Copperopolis,2633,4,0.1519179642992784
93667,Tollhouse,2633,4,0.1519179642992784
95457,Lower Lake,2644,4,0.15128593040847202
96020,Chester,2664,4,0.15015015015015015
93451,San Miguel,2666,4,0.15003750937734434
93453,Santa Margarita,2687,4,0.14886490509862302
95454,Laytonville,2706,4,0.14781966001478197
95245,Mokelumne Hill,2718,4,0.14716703458425312
95634,Georgetown,2723,4,0.14689680499449137
95627,Esparto,2756,4,0.14513788098693758
92602,Irvine,2762,4,0.1448225923244026
93532,Lake Hughes,2771,4,0.1443522194153735
92256,Morongo Valley,3499,5,0.14289797084881395
92249,Heber,3535,5,0.14144271570014144
93202,Armona,2872,4,0.1392757660167131
94599,Yountville,2873,4,0.13922728854855554
93242,Laton,2900,4,0.13793103448275862
90058,Los Angeles,3642,5,0.1372872048325096
93261,Richgrove,2956,4,0.13531799729364005
95684,Somerset,2958,4,0.1352265043948614
90704,Avalon,3699,5,0.13517166801838335
95536,Ferndale,2965,4,0.13490725126475547
93921,Carmel By The Sea,2966,4,0.13486176668914363
93066,Somis,2966,4,0.13486176668914363
95458,Lucerne,3002,4,0.13324450366422386
95546,Hoopa,3041,4,0.1315356790529431
94038,Moss Beach,3064,4,0.13054830287206268
92590,Temecula,3070,4,0.13029315960912052
96114,Janesville,3093,4,0.12932428063368898
92662,Newport Beach,3124,4,0.12804097311139565
91906,Campo,3133,4,0.12767315671879986
93675,Squaw Valley,3146,4,0.12714558169103624
95236,Linden,3148,4,0.12706480304955528
95917,Biggs,3169,4,0.12622278321236985
94525,Crockett,3193,4,0.1252740369558409
95982,Sutter,3193,4,0.1252740369558409
95237,Lockeford,3205,4,0.12480499219968799
93430,Cayucos,3220,4,0.12422360248447205
95333,Le Grand,3256,4,0.12285012285012285
93650,Fresno,3258,4,0.12277470841006752
95562,Rio Dell,3284,4,0.12180267965895249
94111,San Francisco,3337,4,0.11986814504045551
93285,Wofford Heights,2515,3,0.11928429423459246
96035,Gerber,3357,4,0.11915400655347036
95004,Aromas,3373,4,0.11858879335902757
93643,North Fork,3376,4,0.11848341232227488
95045,San Juan Bautista,3402,4,0.11757789535567313
93602,Auberry,3464,4,0.11547344110854503
92061,Pauma Valley,2615,3,0.11472275334608031
90014,Los Angeles,3524,4,0.11350737797956867
95938,Durham,3524,4,0.11350737797956867
93265,Springville,3546,4,0.1128031584884377
92036,Julian,3577,4,0.11182555213866369
92549,Idyllwild,3588,4,0.11148272017837235
95692,Wheatland,3600,4,0.1111111111111111
94005,Brisbane,3635,4,0.11004126547455295
94508,Angwin,3641,4,0.10985992859104642
92283,Winterhaven,3663,4,0.10920010920010921
92257,Niland,2753,3,0.10897203051216856
95614,Cool,3674,4,0.10887316276537834
95321,Groveland,3680,4,0.10869565217391304
95423,Clearlake Oaks,3684,4,0.10857763300760044
92539,Anza,3745,4,0.1068090787716956
95722,Meadow Vista,3747,4,0.10675206832132372
96093,Weaverville,3749,4,0.10669511869831955
96055,Los Molinos,3756,4,0.10649627263045794
94951,Penngrove,3777,4,0.10590415673815197
95672,Rescue,3815,4,0.10484927916120576
92004,Borrego Springs,2863,3,0.1047851903597625
92003,Bonsall,3849,4,0.10392309690828788
92122,San Diego,34902,36,0.1031459515214028
92028,Fallbrook,42239,43,0.10180165250124291
95249,San Andreas,3930,4,0.10178117048346055
95379,Tuolumne,3979,4,0.10052777079668257
92596,Winchester,4093,4,0.09772782799902273
95623,El Dorado,4097,4,0.0976324139614352
95442,Glen Ellen,4101,4,0.0975371860521824
95365,Planada,4150,4,0.09638554216867469
96137,Westwood,4158,4,0.0962000962000962
95258,Woodbridge,4176,4,0.09578544061302681
90401,Santa Monica,5221,5,0.0957670944263551
93256,Pixley,4198,4,0.09528346831824679
96088,Shingletown,4231,4,0.09454029780193808
92661,Newport Beach,4242,4,0.0942951438000943
92397,Wrightwood,4253,4,0.0940512579355749
95222,Angels Camp,4264,4,0.09380863039399624
92372,Pinon Hills,4280,4,0.09345794392523366
92548,Homeland,4283,4,0.09339248190520663
93660,San Joaquin,4318,4,0.09263547938860583
95247,Murphys,4353,4,0.09189065012634964
95665,Pine Grove,4354,4,0.09186954524575103
90290,Topanga,5451,5,0.091726288754357
92241,Desert Hot Springs,5529,5,0.09043226623259179
95619,Diamond Springs,4426,4,0.09037505648441031
92582,San Jacinto,4456,4,0.08976660682226212
93225,Frazier Park,4498,4,0.08892841262783459
93235,Ivanhoe,4517,4,0.08855435023245517
92532,Lake Elsinore,4546,4,0.08798944126704795
96013,Burney,4552,4,0.08787346221441124
95064,Santa Cruz,4563,4,0.08766162612316458
95987,Williams,4579,4,0.08735531775496833
93953,Pebble Beach,4602,4,0.0869187309865276
95685,Sutter Creek,4610,4,0.08676789587852494
93427,Buellton,4644,4,0.08613264427217916
95683,Sloughhouse,4731,4,0.08454872120059184
95019,Freedom,4753,4,0.08415737428992215
95912,Arbuckle,4796,4,0.08340283569641367
96143,Kings Beach,4806,4,0.08322929671244278
95709,Camino,4829,4,0.08283288465520812
95383,Twain Harte,4848,4,0.08250825082508251
95446,Guerneville,4913,4,0.08141664970486465
96073,Palo Cedro,4931,4,0.08111944838775097
92342,Helendale,4948,4,0.08084074373484236
92276,Thousand Palms,6242,5,0.08010253123998719
95231,French Camp,5094,4,0.07852375343541422
92027,Escondido,48690,38,0.0780447730540152
92130,San Diego,28201,22,0.07801141803482146
